lng,lat
-100.3427724,25.6832535
-100.3890336,25.7721352
-100.31365821644643,25.673455145380462
-100.303487,25.7123781
-100.3124103,25.6892769
-100.3040436,25.7086952
-100.3044575,25.6847409
-100.331672,25.6876835
-100.3369083,25.6883017
-100.3434697,25.6960632
-100.4170464,25.7522425
-100.3618302,25.7484012
-100.3326754,25.7326066
-100.285074,25.621335
-100.2928656,25.6522693
-100.27495,25.6493271
-100.31475462387968,25.673387212606816
-100.3256822,25.7008088
-100.2856157,25.6823634
-100.394181,25.7538791
-100.3362378,25.7390878
-100.4350896,25.7528291
-100.3326754,25.7326066
-100.3167505,25.69588
-100.321661,25.6926761
-100.31475462387968,25.673387212606816
-100.3512487,25.6940699
-100.3676411,25.7230383
-100.2709983,25.6183929
-100.3162895,25.6834076
-100.266366,25.68249
-100.3486305,25.7341584
-100.3268281,25.6915349
-100.2772177,25.6831575
-100.3241976,25.6746109
-100.3268281,25.6915349
-100.3446686,25.6874237
-100.3676411,25.7230383
-100.2735927,25.6416088
-100.25801166242712,25.58751043065638
-100.3458451,25.6665924
-100.3460207,25.6730992
-100.2950865,25.681924
-100.2631523,25.5956565
-100.41129649358902,25.741891905513636
-100.4111572,25.7430534
-100.3152404,25.6840844
-100.3863874,25.7709667
-100.2945953,25.6551007
-100.25801166242712,25.58751043065638
-100.3512487,25.6940699
-100.3258483,25.7188049
-100.266366,25.68249
-100.2822793,25.6669462
-100.284706,25.6719674
-100.3128621,25.6582387
-100.3357791,25.6719612
-100.2962458,25.6876835
-100.31475462387968,25.673387212606816
-100.3545231,25.7265926
-100.3351075,25.6881257
-100.3369083,25.6883017
-100.3512487,25.6940699
-100.303487,25.7123781
-100.2813276,25.6865649
-100.3324313,25.7386724
-100.4085783,25.760415
-100.394181,25.7538791
-100.3512487,25.6940699
-100.3351075,25.6881257
-100.3146043,25.7064354
-100.3900648,25.7561717
-100.3074379,25.674769
-100.2962458,25.6876835
-100.2682107,25.6838204
-100.3419113,25.6850414
-100.3419113,25.6850414
-100.3182639,25.6632461
-100.331672,25.6876835
-100.284706,25.6719674
-100.3322151,25.6782339
-100.3579105,25.7206916
-100.3483816,25.7455743
-100.3673184,25.6744918
-100.3675253,25.7353393
